deployment_id,pipeline_id,service,deploy_timestamp,deployed_by,environment,status,commit_id,branch
DEP-PIPE-1098-098,PIPE-1098,payment-apie,2026-08-22 17:21:00,glory_ops,development,Success,c1a649,main
DEP-PIPE-1099-099,PIPE-1099,user-profile,2026-08-22 20:02:00,jordan_qa,staging,Success,c8e1c7,main
DEP-PIPE-1100-100,PIPE-1100,payment-apie,2026-08-23 01:51:00,maya_eng,development,Success,c2ef9a,feature/auth-refresh
DEP-PIPE-1101-101,PIPE-1101,inventory-db-migrator,2026-08-23 07:55:00,system_bot,production,Failed,ca03fb,main
DEP-PIPE-1102-102,PIPE-1102,cart-service,2026-08-23 15:39:00,system_bot,production,Success,cdb077,release/v2.1
DEP-PIPE-1103-103,PIPE-1103,web-frontend,2026-08-23 20:10:00,system_bot,production,Failed,cb8fb5,feature/auth-refresh
DEP-PIPE-1104-104,PIPE-1104,auth-service,2026-08-24 01:41:00,jordan_qa,production,Success,c26fa5,main
DEP-PIPE-1105-105,PIPE-1105,inventory-db-migrator,2026-08-24 04:57:00,jordan_qa,staging,Success,cbf48d,main
DEP-PIPE-1106-106,PIPE-1106,auth-service,2026-08-24 10:43:00,saanvi_lead,production,Success,c57d62,main
DEP-PIPE-1107-107,PIPE-1107,auth-servicee,2026-08-24 17:34:00,alex_dev,development,Success,c309b8,feature/auth-refresh
DEP-PIPE-1108-108,PIPE-1108,notification-worker,2026-08-25 01:24:00,glory_ops,production,Success,cc05d3,feature/auth-refresh
DEP-PIPE-1109-109,PIPE-1109,notification-worker,2026-08-25 06:17:00,maya_eng,staging,Success,c9a964,hotfix/payment-timeout
DEP-PIPE-1110-110,PIPE-1110,cart-service,2026-08-25 12:55:00,system_bot,staging,Success,cee346,main
DEP-PIPE-1111-111,PIPE-1111,inventory-db-migratore,2026-08-25 20:55:00,alex_dev,development,Success,c75acb,hotfix/payment-timeout
DEP-PIPE-1112-112,PIPE-1112,inventory-db-migrator,2026-08-26 02:51:00,glory_ops,staging,Success,c8934f,main
DEP-PIPE-1113-113,PIPE-1113,cart-service,2026-08-26 05:35:00,jordan_qa,production,Success,ca6606,feature/auth-refresh
DEP-PIPE-1114-114,PIPE-1114,user-profile,2026-08-26 07:44:00,saanvi_lead,production,Success,c71e86,hotfix/payment-timeout
DEP-PIPE-1115-115,PIPE-1115,inventory-db-migratore,2026-08-26 12:31:00,saanvi_lead,development,Success,c22383,release/v2.1
DEP-PIPE-1116-116,PIPE-1116,payment-apie,2026-08-26 16:48:00,alex_dev,development,Skipped,c553ff,feature/auth-refresh
DEP-PIPE-1117-117,PIPE-1117,user-profile,2026-08-26 18:53:00,jordan_qa,production,Success,ca1a4d,main
DEP-PIPE-1118-118,PIPE-1118,notification-workere,2026-08-27 01:26:00,alex_dev,development,Skipped,ca3b2f,main
DEP-PIPE-1119-119,PIPE-1119,notification-worker,2026-08-27 03:26:00,glory_ops,production,Success,cd7ba2,feature/auth-refresh
DEP-PIPE-1120-120,PIPE-1120,auth-service,2026-08-27 11:21:00,glory_ops,production,Success,cecfe0,release/v2.1
