workflow_run_id,repository,workflow_name,event_trigger,status,conclusion,created_at,updated_at,run_attempt,jobs_count,runner_os,step_failure_count
GHA-5041,payment-service,integration-tests.yml,schedule,completed,timed_out,2026-08-04 13:28:00,2026-08-04 13:38:00,1,7,macos-latest,2
GHA-5042,SW2627-AI-ReleaseGuard,security-audit.yml,pull_request,completed,success,2026-08-04 16:17:00,2026-08-04 16:29:00,1,2,macos-latest,0
GHA-5043,web-client,release-tagger.yml,push,completed,success,2026-08-04 19:13:00,2026-08-04 19:31:00,1,3,ubuntu-latest,0
GHA-5044,auth-gateway,cd-deploy-k8s.yml,push,completed,success,2026-08-04 20:30:00,2026-08-04 20:33:00,1,3,self-hosted-runner,0
GHA-5045,web-client,ci-build.yml,workflow_dispatch,completed,success,2026-08-04 21:56:00,2026-08-04 22:20:00,3,2,macos-latest,0
GHA-5046,SW2627-AI-ReleaseGuard,release-tagger.yml,push,completed,success,2026-08-04 23:44:00,2026-08-05 00:03:00,1,2,macos-latest,0
GHA-5047,user-service,integration-tests.yml,schedule,completed,success,2026-08-05 01:19:00,2026-08-05 01:25:00,1,7,windows-latest,0
GHA-5048,auth-gateway,release-tagger.yml,workflow_dispatch,completed,success,2026-08-05 03:22:00,2026-08-05 03:36:00,1,7,ubuntu-latest,0
GHA-5049,auth-gateway,integration-tests.yml,push,completed,timed_out,2026-08-05 04:57:00,2026-08-05 05:00:00,3,6,macos-latest,1
GHA-5050,user-service,release-tagger.yml,push,completed,success,2026-08-05 05:56:00,2026-08-05 06:12:00,1,5,self-hosted-runner,0
GHA-5051,auth-gateway,integration-tests.yml,pull_request,completed,failure,2026-08-05 07:13:00,2026-08-05 07:31:00,1,2,windows-latest,3
GHA-5052,payment-service,ci-build.yml,push,completed,timed_out,2026-08-05 09:46:00,2026-08-05 10:05:00,1,6,windows-latest,3
GHA-5053,web-client,integration-tests.yml,schedule,completed,failure,2026-08-05 10:40:00,2026-08-05 10:58:00,1,5,windows-latest,3
GHA-5054,web-client,ci-build.yml,workflow_dispatch,completed,success,2026-08-05 13:34:00,2026-08-05 13:58:00,1,2,self-hosted-runner,0
GHA-5055,payment-service,security-audit.yml,pull_request,completed,success,2026-08-05 14:52:00,2026-08-05 15:04:00,1,3,windows-latest,0
GHA-5056,web-client,security-audit.yml,push,completed,success,2026-08-05 15:37:00,2026-08-05 15:44:00,1,7,macos-latest,0
GHA-5057,payment-service,cd-deploy-k8s.yml,schedule,completed,success,2026-08-05 18:15:00,2026-08-05 18:35:00,1,3,ubuntu-latest,0
GHA-5058,auth-gateway,security-audit.yml,pull_request,completed,success,2026-08-05 20:13:00,2026-08-05 20:21:00,1,5,ubuntu-latest,0
GHA-5059,user-service,security-audit.yml,schedule,completed,success,2026-08-05 22:15:00,2026-08-05 22:34:00,1,4,self-hosted-runner,0
GHA-5060,web-client,cd-deploy-k8s.yml,workflow_dispatch,completed,success,2026-08-06 00:09:00,2026-08-06 00:33:00,3,3,windows-latest,0
GHA-5061,payment-service,security-audit.yml,pull_request,completed,success,2026-08-06 02:22:00,2026-08-06 02:26:00,1,2,ubuntu-latest,0
GHA-5062,user-service,integration-tests.yml,schedule,completed,success,2026-08-06 04:19:00,2026-08-06 04:23:00,1,7,ubuntu-latest,0
GHA-5063,SW2627-AI-ReleaseGuard,security-audit.yml,pull_request,completed,success,2026-08-06 06:02:00,2026-08-06 06:13:00,1,6,self-hosted-runner,0
GHA-5064,user-service,cd-deploy-k8s.yml,pull_request,completed,success,2026-08-06 08:00:00,2026-08-06 08:15:00,1,5,windows-latest,0
GHA-5065,web-client,ci-build.yml,schedule,completed,success,2026-08-06 09:59:00,2026-08-06 10:18:00,1,3,ubuntu-latest,0
GHA-5066,auth-gateway,security-audit.yml,pull_request,completed,success,2026-08-06 11:37:00,2026-08-06 11:58:00,1,6,self-hosted-runner,0
GHA-5067,payment-service,release-tagger.yml,schedule,completed,success,2026-08-06 12:24:00,2026-08-06 12:35:00,1,4,windows-latest,0
GHA-5068,web-client,release-tagger.yml,push,completed,success,2026-08-06 14:42:00,2026-08-06 14:55:00,1,7,self-hosted-runner,0
GHA-5069,payment-service,release-tagger.yml,workflow_dispatch,completed,success,2026-08-06 15:30:00,2026-08-06 15:53:00,1,4,windows-latest,0
GHA-5070,user-service,release-tagger.yml,schedule,completed,success,2026-08-06 17:38:00,2026-08-06 17:53:00,1,2,ubuntu-latest,0
GHA-5071,auth-gateway,security-audit.yml,push,completed,cancelled,2026-08-06 19:10:00,2026-08-06 19:25:00,1,6,macos-latest,1
GHA-5072,web-client,security-audit.yml,pull_request,completed,success,2026-08-06 20:22:00,2026-08-06 20:38:00,1,2,windows-latest,0
GHA-5073,user-service,ci-build.yml,push,completed,success,2026-08-06 23:11:00,2026-08-06 23:28:00,1,4,self-hosted-runner,0
GHA-5074,auth-gateway,ci-build.yml,workflow_dispatch,completed,timed_out,2026-08-07 01:47:00,2026-08-07 02:06:00,1,6,macos-latest,3
GHA-5075,payment-service,ci-build.yml,schedule,completed,success,2026-08-07 03:34:00,2026-08-07 03:50:00,1,3,windows-latest,0
GHA-5076,SW2627-AI-ReleaseGuard,integration-tests.yml,pull_request,completed,success,2026-08-07 05:52:00,2026-08-07 06:00:00,1,7,macos-latest,0
GHA-5077,web-client,ci-build.yml,workflow_dispatch,completed,success,2026-08-07 07:51:00,2026-08-07 08:13:00,1,7,windows-latest,0
GHA-5078,SW2627-AI-ReleaseGuard,ci-build.yml,pull_request,completed,success,2026-08-07 09:08:00,2026-08-07 09:18:00,1,2,ubuntu-latest,0
GHA-5079,web-client,release-tagger.yml,push,completed,success,2026-08-07 10:08:00,2026-08-07 10:24:00,1,7,macos-latest,0
GHA-5080,auth-gateway,ci-build.yml,pull_request,completed,success,2026-08-07 11:28:00,2026-08-07 11:41:00,1,2,macos-latest,0
GHA-5081,web-client,cd-deploy-k8s.yml,push,completed,success,2026-08-07 14:05:00,2026-08-07 14:19:00,1,6,self-hosted-runner,0
GHA-5082,web-client,cd-deploy-k8s.yml,push,completed,success,2026-08-07 15:09:00,2026-08-07 15:32:00,1,4,windows-latest,0
GHA-5083,web-client,release-tagger.yml,schedule,completed,success,2026-08-07 16:02:00,2026-08-07 16:05:00,1,5,macos-latest,0
GHA-5084,SW2627-AI-ReleaseGuard,integration-tests.yml,workflow_dispatch,completed,timed_out,2026-08-07 17:37:00,2026-08-07 17:58:00,1,5,macos-latest,1
GHA-5085,SW2627-AI-ReleaseGuard,security-audit.yml,workflow_dispatch,completed,success,2026-08-07 20:29:00,2026-08-07 20:43:00,1,4,self-hosted-runner,0
GHA-5086,user-service,integration-tests.yml,schedule,completed,success,2026-08-07 22:47:00,2026-08-07 22:58:00,1,4,self-hosted-runner,0
GHA-5087,auth-gateway,ci-build.yml,schedule,completed,success,2026-08-08 01:37:00,2026-08-08 01:47:00,1,2,self-hosted-runner,0
GHA-5088,web-client,ci-build.yml,schedule,completed,success,2026-08-08 03:30:00,2026-08-08 03:48:00,1,3,macos-latest,0
GHA-5089,auth-gateway,ci-build.yml,pull_request,completed,cancelled,2026-08-08 04:47:00,2026-08-08 05:04:00,1,6,windows-latest,2
GHA-5090,auth-gateway,security-audit.yml,schedule,completed,success,2026-08-08 06:54:00,2026-08-08 07:00:00,1,5,windows-latest,0
GHA-5091,auth-gateway,integration-tests.yml,push,completed,success,2026-08-08 09:35:00,2026-08-08 09:54:00,1,2,self-hosted-runner,0
GHA-5092,user-service,integration-tests.yml,workflow_dispatch,completed,cancelled,2026-08-08 12:02:00,2026-08-08 12:19:00,1,7,windows-latest,3
GHA-5093,SW2627-AI-ReleaseGuard,cd-deploy-k8s.yml,workflow_dispatch,completed,success,2026-08-08 12:56:00,2026-08-08 13:10:00,1,2,ubuntu-latest,0
GHA-5094,web-client,integration-tests.yml,pull_request,completed,success,2026-08-08 14:43:00,2026-08-08 15:06:00,1,5,macos-latest,0
GHA-5095,auth-gateway,release-tagger.yml,schedule,completed,success,2026-08-08 17:26:00,2026-08-08 17:44:00,1,3,macos-latest,0
GHA-5096,user-service,integration-tests.yml,schedule,completed,success,2026-08-08 18:49:00,2026-08-08 18:56:00,1,5,macos-latest,0
GHA-5097,user-service,release-tagger.yml,schedule,completed,success,2026-08-08 20:29:00,2026-08-08 20:39:00,1,6,ubuntu-latest,0
GHA-5098,payment-service,security-audit.yml,pull_request,completed,failure,2026-08-08 21:57:00,2026-08-08 22:10:00,1,3,windows-latest,2
GHA-5099,auth-gateway,security-audit.yml,workflow_dispatch,completed,success,2026-08-08 23:52:00,2026-08-09 00:04:00,1,7,windows-latest,0
GHA-5100,web-client,ci-build.yml,schedule,completed,success,2026-08-09 01:33:00,2026-08-09 01:36:00,1,4,macos-latest,0
GHA-5101,user-service,security-audit.yml,workflow_dispatch,completed,success,2026-08-09 02:38:00,2026-08-09 02:53:00,1,7,ubuntu-latest,0
GHA-5102,user-service,cd-deploy-k8s.yml,push,completed,success,2026-08-09 04:59:00,2026-08-09 05:20:00,2,7,self-hosted-runner,0
GHA-5103,user-service,ci-build.yml,push,completed,success,2026-08-09 07:30:00,2026-08-09 07:51:00,1,5,self-hosted-runner,0
GHA-5104,payment-service,integration-tests.yml,workflow_dispatch,completed,success,2026-08-09 09:27:00,2026-08-09 09:42:00,1,6,macos-latest,0
GHA-5105,user-service,cd-deploy-k8s.yml,schedule,completed,timed_out,2026-08-09 10:54:00,2026-08-09 11:10:00,1,5,ubuntu-latest,1
GHA-5106,auth-gateway,release-tagger.yml,workflow_dispatch,completed,success,2026-08-09 13:38:00,2026-08-09 13:44:00,1,6,windows-latest,0
GHA-5107,SW2627-AI-ReleaseGuard,cd-deploy-k8s.yml,schedule,completed,success,2026-08-09 15:36:00,2026-08-09 15:46:00,1,3,windows-latest,0
GHA-5108,payment-service,ci-build.yml,pull_request,completed,success,2026-08-09 17:59:00,2026-08-09 18:05:00,1,4,windows-latest,0
GHA-5109,web-client,cd-deploy-k8s.yml,schedule,completed,success,2026-08-09 19:24:00,2026-08-09 19:33:00,1,3,self-hosted-runner,0
GHA-5110,SW2627-AI-ReleaseGuard,ci-build.yml,schedule,completed,success,2026-08-09 21:50:00,2026-08-09 22:12:00,1,4,windows-latest,0
GHA-5111,web-client,ci-build.yml,workflow_dispatch,completed,success,2026-08-09 22:57:00,2026-08-09 23:06:00,1,5,macos-latest,0
GHA-5112,SW2627-AI-ReleaseGuard,integration-tests.yml,schedule,completed,success,2026-08-10 00:28:00,2026-08-10 00:39:00,1,6,self-hosted-runner,0
GHA-5113,SW2627-AI-ReleaseGuard,security-audit.yml,schedule,completed,success,2026-08-10 01:16:00,2026-08-10 01:27:00,1,3,self-hosted-runner,0
GHA-5114,user-service,release-tagger.yml,push,completed,success,2026-08-10 02:31:00,2026-08-10 02:48:00,1,2,macos-latest,0
GHA-5115,user-service,security-audit.yml,workflow_dispatch,completed,cancelled,2026-08-10 03:17:00,2026-08-10 03:20:00,1,3,macos-latest,3
GHA-5116,user-service,integration-tests.yml,push,completed,success,2026-08-10 06:01:00,2026-08-10 06:13:00,1,4,ubuntu-latest,0
GHA-5117,SW2627-AI-ReleaseGuard,release-tagger.yml,workflow_dispatch,completed,success,2026-08-10 07:47:00,2026-08-10 08:00:00,3,2,macos-latest,0
GHA-5118,SW2627-AI-ReleaseGuard,integration-tests.yml,pull_request,completed,cancelled,2026-08-10 09:41:00,2026-08-10 09:57:00,1,5,self-hosted-runner,2
GHA-5119,auth-gateway,integration-tests.yml,pull_request,completed,success,2026-08-10 12:33:00,2026-08-10 12:51:00,1,3,self-hosted-runner,0
GHA-5120,web-client,release-tagger.yml,push,completed,success,2026-08-10 14:38:00,2026-08-10 14:53:00,3,2,ubuntu-latest,0
GHA-5121,user-service,ci-build.yml,push,completed,success,2026-08-10 16:21:00,2026-08-10 16:38:00,1,2,macos-latest,0
GHA-5122,SW2627-AI-ReleaseGuard,release-tagger.yml,push,completed,failure,2026-08-10 18:01:00,2026-08-10 18:13:00,1,3,self-hosted-runner,1
GHA-5123,SW2627-AI-ReleaseGuard,cd-deploy-k8s.yml,workflow_dispatch,completed,success,2026-08-10 20:56:00,2026-08-10 21:12:00,1,2,macos-latest,0
GHA-5124,SW2627-AI-ReleaseGuard,ci-build.yml,workflow_dispatch,completed,success,2026-08-10 22:41:00,2026-08-10 23:01:00,1,2,self-hosted-runner,0
GHA-5125,auth-gateway,ci-build.yml,workflow_dispatch,completed,failure,2026-08-11 00:02:00,2026-08-11 00:06:00,1,7,macos-latest,2
GHA-5126,SW2627-AI-ReleaseGuard,release-tagger.yml,push,completed,success,2026-08-11 01:51:00,2026-08-11 02:12:00,1,7,windows-latest,0
GHA-5127,auth-gateway,integration-tests.yml,pull_request,completed,success,2026-08-11 03:02:00,2026-08-11 03:17:00,1,2,macos-latest,0
GHA-5128,web-client,security-audit.yml,workflow_dispatch,completed,success,2026-08-11 04:47:00,2026-08-11 05:00:00,1,2,macos-latest,0
GHA-5129,user-service,release-tagger.yml,pull_request,completed,success,2026-08-11 07:23:00,2026-08-11 07:28:00,1,4,windows-latest,0
GHA-5130,web-client,cd-deploy-k8s.yml,workflow_dispatch,completed,success,2026-08-11 09:52:00,2026-08-11 09:58:00,1,4,macos-latest,0
GHA-5131,web-client,security-audit.yml,push,completed,success,2026-08-11 11:56:00,2026-08-11 12:20:00,1,3,self-hosted-runner,0
GHA-5132,auth-gateway,release-tagger.yml,push,completed,success,2026-08-11 14:39:00,2026-08-11 14:49:00,1,2,self-hosted-runner,0
GHA-5133,web-client,ci-build.yml,push,completed,success,2026-08-11 16:48:00,2026-08-11 17:00:00,1,3,macos-latest,0
GHA-5134,payment-service,security-audit.yml,push,completed,success,2026-08-11 19:20:00,2026-08-11 19:42:00,1,7,ubuntu-latest,0
GHA-5135,SW2627-AI-ReleaseGuard,cd-deploy-k8s.yml,push,completed,success,2026-08-11 20:23:00,2026-08-11 20:43:00,1,3,windows-latest,0
GHA-5136,SW2627-AI-ReleaseGuard,cd-deploy-k8s.yml,push,completed,success,2026-08-11 21:38:00,2026-08-11 21:56:00,1,6,windows-latest,0
GHA-5137,user-service,integration-tests.yml,schedule,completed,success,2026-08-12 00:28:00,2026-08-12 00:41:00,1,7,self-hosted-runner,0
GHA-5138,SW2627-AI-ReleaseGuard,security-audit.yml,push,completed,success,2026-08-12 02:01:00,2026-08-12 02:08:00,1,7,macos-latest,0
GHA-5139,user-service,cd-deploy-k8s.yml,pull_request,completed,success,2026-08-12 03:44:00,2026-08-12 03:50:00,1,3,self-hosted-runner,0
GHA-5140,web-client,release-tagger.yml,push,completed,success,2026-08-12 05:23:00,2026-08-12 05:45:00,1,4,ubuntu-latest,0
GHA-5141,web-client,ci-build.yml,workflow_dispatch,completed,success,2026-08-12 07:14:00,2026-08-12 07:20:00,1,6,self-hosted-runner,0
GHA-5142,web-client,release-tagger.yml,schedule,completed,cancelled,2026-08-12 08:26:00,2026-08-12 08:46:00,1,3,ubuntu-latest,2
GHA-5143,payment-service,integration-tests.yml,pull_request,completed,success,2026-08-12 11:19:00,2026-08-12 11:26:00,1,4,macos-latest,0
GHA-5144,SW2627-AI-ReleaseGuard,ci-build.yml,workflow_dispatch,completed,success,2026-08-12 12:32:00,2026-08-12 12:48:00,1,2,ubuntu-latest,0
GHA-5145,web-client,ci-build.yml,schedule,completed,failure,2026-08-12 15:27:00,2026-08-12 15:32:00,1,2,self-hosted-runner,2
GHA-5146,payment-service,ci-build.yml,push,completed,success,2026-08-12 16:49:00,2026-08-12 17:13:00,1,5,macos-latest,0
GHA-5147,SW2627-AI-ReleaseGuard,ci-build.yml,schedule,completed,success,2026-08-12 17:55:00,2026-08-12 18:14:00,1,7,windows-latest,0
GHA-5148,payment-service,ci-build.yml,push,completed,success,2026-08-12 19:34:00,2026-08-12 19:52:00,1,2,ubuntu-latest,0
GHA-5149,SW2627-AI-ReleaseGuard,integration-tests.yml,workflow_dispatch,completed,success,2026-08-12 21:04:00,2026-08-12 21:09:00,1,6,windows-latest,0
GHA-5150,user-service,security-audit.yml,push,completed,success,2026-08-12 23:42:00,2026-08-12 23:45:00,1,6,self-hosted-runner,0
GHA-5151,payment-service,integration-tests.yml,workflow_dispatch,completed,success,2026-08-13 01:35:00,2026-08-13 01:55:00,1,6,macos-latest,0
GHA-5152,web-client,ci-build.yml,push,completed,success,2026-08-13 03:55:00,2026-08-13 04:01:00,1,5,ubuntu-latest,0
GHA-5153,web-client,security-audit.yml,pull_request,completed,success,2026-08-13 06:40:00,2026-08-13 06:43:00,1,3,windows-latest,0
GHA-5154,user-service,integration-tests.yml,push,completed,success,2026-08-13 07:57:00,2026-08-13 08:19:00,2,3,macos-latest,0
GHA-5155,user-service,ci-build.yml,pull_request,completed,success,2026-08-13 09:23:00,2026-08-13 09:35:00,1,2,ubuntu-latest,0
GHA-5156,auth-gateway,integration-tests.yml,schedule,completed,success,2026-08-13 10:23:00,2026-08-13 10:27:00,1,6,windows-latest,0
GHA-5157,web-client,cd-deploy-k8s.yml,push,completed,success,2026-08-13 12:59:00,2026-08-13 13:08:00,1,6,macos-latest,0
GHA-5158,user-service,security-audit.yml,push,completed,success,2026-08-13 15:51:00,2026-08-13 16:07:00,1,4,ubuntu-latest,0
GHA-5159,auth-gateway,ci-build.yml,pull_request,completed,success,2026-08-13 16:55:00,2026-08-13 17:01:00,1,7,ubuntu-latest,0
GHA-5160,user-service,cd-deploy-k8s.yml,schedule,completed,success,2026-08-13 19:13:00,2026-08-13 19:20:00,1,2,macos-latest,0
GHA-5161,SW2627-AI-ReleaseGuard,cd-deploy-k8s.yml,push,completed,success,2026-08-13 21:58:00,2026-08-13 22:03:00,1,7,self-hosted-runner,0
GHA-5162,SW2627-AI-ReleaseGuard,integration-tests.yml,workflow_dispatch,completed,timed_out,2026-08-13 23:19:00,2026-08-13 23:40:00,1,3,macos-latest,2
GHA-5163,user-service,ci-build.yml,pull_request,completed,success,2026-08-14 01:59:00,2026-08-14 02:12:00,1,4,self-hosted-runner,0
GHA-5164,payment-service,release-tagger.yml,push,completed,success,2026-08-14 04:03:00,2026-08-14 04:14:00,1,2,self-hosted-runner,0
GHA-5165,SW2627-AI-ReleaseGuard,release-tagger.yml,push,completed,success,2026-08-14 05:14:00,2026-08-14 05:17:00,1,4,ubuntu-latest,0
GHA-5166,user-service,ci-build.yml,schedule,completed,success,2026-08-14 05:59:00,2026-08-14 06:02:00,1,3,ubuntu-latest,0
GHA-5167,web-client,cd-deploy-k8s.yml,pull_request,completed,success,2026-08-14 08:06:00,2026-08-14 08:26:00,1,4,ubuntu-latest,0
GHA-5168,SW2627-AI-ReleaseGuard,security-audit.yml,push,completed,success,2026-08-14 10:47:00,2026-08-14 10:58:00,1,7,ubuntu-latest,0
GHA-5169,payment-service,integration-tests.yml,schedule,completed,success,2026-08-14 13:46:00,2026-08-14 14:04:00,1,4,self-hosted-runner,0
GHA-5170,web-client,release-tagger.yml,push,completed,success,2026-08-14 15:22:00,2026-08-14 15:36:00,2,6,ubuntu-latest,0
GHA-5171,payment-service,ci-build.yml,push,completed,success,2026-08-14 16:09:00,2026-08-14 16:29:00,1,2,windows-latest,0
GHA-5172,payment-service,release-tagger.yml,push,completed,success,2026-08-14 17:22:00,2026-08-14 17:38:00,1,6,ubuntu-latest,0
GHA-5173,auth-gateway,integration-tests.yml,push,completed,success,2026-08-14 19:13:00,2026-08-14 19:31:00,1,6,macos-latest,0
GHA-5174,auth-gateway,integration-tests.yml,push,completed,success,2026-08-14 20:38:00,2026-08-14 20:57:00,1,5,windows-latest,0
GHA-5175,auth-gateway,integration-tests.yml,schedule,completed,success,2026-08-14 21:24:00,2026-08-14 21:43:00,1,2,windows-latest,0
GHA-5176,user-service,integration-tests.yml,push,completed,success,2026-08-14 22:20:00,2026-08-14 22:27:00,1,6,macos-latest,0
GHA-5177,SW2627-AI-ReleaseGuard,ci-build.yml,schedule,completed,success,2026-08-15 00:25:00,2026-08-15 00:42:00,1,6,self-hosted-runner,0
GHA-5178,web-client,integration-tests.yml,schedule,completed,success,2026-08-15 02:26:00,2026-08-15 02:38:00,2,5,windows-latest,0
GHA-5179,web-client,integration-tests.yml,push,completed,success,2026-08-15 04:47:00,2026-08-15 04:52:00,1,5,ubuntu-latest,0
GHA-5180,payment-service,integration-tests.yml,pull_request,completed,success,2026-08-15 05:46:00,2026-08-15 05:54:00,1,5,macos-latest,0
GHA-5181,SW2627-AI-ReleaseGuard,integration-tests.yml,pull_request,completed,success,2026-08-15 07:10:00,2026-08-15 07:23:00,1,5,self-hosted-runner,0
GHA-5182,web-client,security-audit.yml,workflow_dispatch,completed,success,2026-08-15 09:49:00,2026-08-15 09:56:00,1,6,self-hosted-runner,0
GHA-5183,payment-service,release-tagger.yml,schedule,completed,timed_out,2026-08-15 11:51:00,2026-08-15 12:14:00,1,2,self-hosted-runner,3
GHA-5184,user-service,security-audit.yml,workflow_dispatch,completed,success,2026-08-15 13:52:00,2026-08-15 13:56:00,2,3,macos-latest,0
GHA-5185,web-client,integration-tests.yml,schedule,completed,success,2026-08-15 16:25:00,2026-08-15 16:43:00,1,7,windows-latest,0
GHA-5186,payment-service,ci-build.yml,schedule,completed,success,2026-08-15 17:49:00,2026-08-15 18:02:00,1,5,macos-latest,0
GHA-5187,auth-gateway,integration-tests.yml,push,completed,success,2026-08-15 20:03:00,2026-08-15 20:21:00,1,7,windows-latest,0
GHA-5188,web-client,security-audit.yml,schedule,completed,success,2026-08-15 21:31:00,2026-08-15 21:53:00,3,3,self-hosted-runner,0
GHA-5189,auth-gateway,ci-build.yml,workflow_dispatch,completed,success,2026-08-15 23:21:00,2026-08-15 23:29:00,1,5,ubuntu-latest,0
GHA-5190,SW2627-AI-ReleaseGuard,integration-tests.yml,pull_request,completed,failure,2026-08-16 01:06:00,2026-08-16 01:15:00,1,4,windows-latest,3
