deployment_id,pipeline_id,service,environment,deploy_timestamp,deployed_by,status,commit_id,branch,outcome,has_rollback,rollback_id,rollback_reason,matched_incident_id,incident_priority,incident_category,incident_opened_at,incident_resolved_at,time_to_resolution_hours,day_of_week,day_of_week_num,deploy_hour,is_weekend,is_after_hours,time_bucket,deploy_quarter,month_sin,month_cos,priority_bucket,priority_numeric,is_instability,risk_score_weight,sla_breach_flag,escalation_depth,reopen_risk_score,job_duration_seconds,test_pass_rate,security_finding_count,lines_changed,flaky_test_flag,composite_risk_score
DEP-PIPE-1021-021,PIPE-1021,inventory-db-migratore,development,2026-08-03 11:21:16,maya_eng,Success,c3d12f,feature/auth-refresh,stable,0,,,,,,,,0.0,Monday,0,11,0,0,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1987,0.978,2,824,0,27.0
DEP-PIPE-1022-022,PIPE-1022,auth-service,production,2026-08-03 14:00:39,maya_eng,Skipped,c6639a,release/v2.1,stable,0,,,,,,,,0.0,Monday,0,14,0,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,986,0.95,2,233,0,27.0
DEP-PIPE-1023-023,PIPE-1023,auth-service,staging,2026-08-03 16:44:06,alex_dev,Success,c3d640,main,stable,0,,,,,,,,0.0,Monday,0,16,0,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1658,0.966,2,574,0,27.0
DEP-PIPE-1024-024,PIPE-1024,notification-workere,development,2026-08-03 19:56:06,jordan_qa,Success,cb4ad5,main,stable,0,,,,,,,,0.0,Monday,0,19,0,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1391,0.962,3,815,0,51.0
DEP-PIPE-1025-025,PIPE-1025,user-profile,production,2026-08-03 22:50:46,saanvi_lead,Failed,c19c61,main,rolled_back,1,RBK-8002,SecurityScanAlert_PostDeploy (Critical CVE in dynamic bundle),,,,,,0.0,Monday,0,22,0,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,1,2,0,,,1224,0.892,2,838,1,84.64
DEP-PIPE-1026-026,PIPE-1026,web-frontend,production,2026-08-04 01:22:42,system_bot,Success,c3c8ab,main,stable,0,,,,,,,,0.0,Tuesday,1,1,0,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1082,0.968,1,262,0,39.0
DEP-PIPE-1027-027,PIPE-1027,cart-servicee,development,2026-08-04 03:06:17,glory_ops,Success,c353b1,hotfix/payment-timeout,stable,0,,,,,,,,0.0,Tuesday,1,3,0,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1815,0.978,2,747,0,45.0
DEP-PIPE-1028-028,PIPE-1028,cart-service,production,2026-08-04 04:40:03,system_bot,Success,c7f418,main,stable,0,,,,,,,,0.0,Tuesday,1,4,0,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1871,0.974,1,832,0,39.0
DEP-PIPE-1029-029,PIPE-1029,payment-api,production,2026-08-04 08:04:36,jordan_qa,Success,c39fe5,main,stable,0,,,,,,,,0.0,Tuesday,1,8,0,1,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1181,0.966,0,699,0,33.0
DEP-PIPE-1030-030,PIPE-1030,inventory-db-migrator,staging,2026-08-04 12:10:51,alex_dev,Success,c4ffdd,main,stable,0,,,,,,,,0.0,Tuesday,1,12,0,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1710,0.986,2,556,0,27.0
DEP-PIPE-1031-031,PIPE-1031,inventory-db-migrator,production,2026-08-04 14:00:48,alex_dev,Failed,cc0b80,main,rolled_back,1,RBK-8003,MemoryLeakDetected (Container OOMKilled),,,,,,0.0,Tuesday,1,14,0,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,1,2,0,,,1410,0.9339999999999999,7,644,0,75.28
DEP-PIPE-1032-032,PIPE-1032,notification-worker,production,2026-08-04 17:50:13,jordan_qa,Skipped,c49f77,main,stable,0,,,,,,,,0.0,Tuesday,1,17,0,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,728,0.9339999999999999,4,803,0,40.28
DEP-PIPE-1033-033,PIPE-1033,notification-workere,development,2026-08-04 20:44:27,maya_eng,Success,c2afcd,release/v2.1,stable,0,,,,,,,,0.0,Tuesday,1,20,0,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1616,0.976,3,632,0,51.0
DEP-PIPE-1034-034,PIPE-1034,cart-service,production,2026-08-05 00:02:16,system_bot,Failed,c8abd4,main,rolled_back,1,RBK-8004,DatabaseDeadlockOnMigration (Schema lock timeout),,,,,,0.0,Wednesday,2,0,0,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,1,2,0,,,1481,0.908,6,772,1,95.36
DEP-PIPE-1035-035,PIPE-1035,auth-service,staging,2026-08-05 02:57:33,maya_eng,Success,cbaf3b,release/v2.1,stable,0,,,,,,,,0.0,Wednesday,2,2,0,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1828,0.984,2,778,0,45.0
DEP-PIPE-1036-036,PIPE-1036,notification-worker,production,2026-08-05 06:26:18,jordan_qa,Success,ca53a7,main,stable,0,,,,,,,,0.0,Wednesday,2,6,0,1,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1440,0.982,2,823,0,45.0
DEP-PIPE-1037-037,PIPE-1037,cart-servicee,development,2026-08-05 08:22:00,system_bot,Success,cada2d,main,stable,0,,,,,,,,0.0,Wednesday,2,8,0,1,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1183,0.976,5,755,0,57.0
DEP-PIPE-1038-038,PIPE-1038,auth-service,production,2026-08-05 10:59:31,saanvi_lead,Success,cf0bb8,main,stable,0,,,,,,,,0.0,Wednesday,2,10,0,0,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1310,0.986,3,711,0,33.0
DEP-PIPE-1039-039,PIPE-1039,payment-api,production,2026-08-05 13:56:14,saanvi_lead,Success,ca1dd5,hotfix/payment-timeout,stable,0,,,,,,,,0.0,Wednesday,2,13,0,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1980,0.962,2,685,0,27.0
DEP-PIPE-1040-040,PIPE-1040,auth-service,production,2026-08-05 15:21:56,system_bot,Success,cacd07,feature/auth-refresh,stable,0,,,,,,,,0.0,Wednesday,2,15,0,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,780,0.976,2,826,0,27.0
DEP-PIPE-1041-041,PIPE-1041,web-frontende,development,2026-08-05 17:01:11,saanvi_lead,Success,cbb636,main,stable,0,,,,,,,,0.0,Wednesday,2,17,0,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1799,0.974,1,629,0,21.0
DEP-PIPE-1042-042,PIPE-1042,payment-api,production,2026-08-05 20:07:17,system_bot,Skipped,ceab0b,release/v2.1,stable,0,,,,,,,,0.0,Wednesday,2,20,0,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1540,0.97,3,768,0,51.0
DEP-PIPE-1043-043,PIPE-1043,notification-worker,production,2026-08-05 22:02:42,maya_eng,Failed,c6787c,main,rolled_back,1,RBK-8005,MemoryLeakDetected (Container OOMKilled),,,,,,0.0,Wednesday,2,22,0,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,1,2,0,,,1510,0.866,8,826,1,98.72
DEP-PIPE-1044-044,PIPE-1044,user-profile,production,2026-08-06 01:54:37,saanvi_lead,Failed,ce3684,main,rolled_back,1,RBK-8006,ElevatedErrorRate_5xx (Error budget breached > 2.5%),,,,,,0.0,Thursday,3,1,0,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,1,2,0,,,1335,0.9339999999999999,7,584,0,93.28
DEP-PIPE-1045-045,PIPE-1045,inventory-db-migrator,production,2026-08-06 05:06:04,alex_dev,Success,c87ab3,feature/auth-refresh,stable,0,,,,,,,,0.0,Thursday,3,5,0,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,2236,0.9640000000000001,5,790,0,57.0
DEP-PIPE-1046-046,PIPE-1046,user-profile,production,2026-08-06 07:16:05,jordan_qa,Success,c2da6c,main,stable,0,,,,,,,,0.0,Thursday,3,7,0,1,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1731,0.986,1,758,0,39.0
DEP-PIPE-1047-047,PIPE-1047,inventory-db-migrator,production,2026-08-06 08:51:39,glory_ops,Failed,c8153d,main,rolled_back,1,RBK-8007,ElevatedErrorRate_5xx (Error budget breached > 2.5%),,,,,,0.0,Thursday,3,8,0,1,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,1,2,0,,,1498,0.9480000000000001,8,476,0,92.16
DEP-PIPE-1048-048,PIPE-1048,notification-workere,development,2026-08-06 11:01:49,jordan_qa,Success,cacdff,hotfix/payment-timeout,stable,0,,,,,,,,0.0,Thursday,3,11,0,0,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1392,0.962,5,809,0,39.0
DEP-PIPE-1049-049,PIPE-1049,payment-apie,development,2026-08-06 13:32:45,maya_eng,Success,c5dcba,feature/auth-refresh,stable,0,,,,,,,,0.0,Thursday,3,13,0,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,2208,0.9640000000000001,2,837,0,27.0
DEP-PIPE-1050-050,PIPE-1050,payment-api,production,2026-08-06 14:35:11,maya_eng,Success,c2417d,main,stable,0,,,,,,,,0.0,Thursday,3,14,0,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1409,0.978,1,840,0,21.0
DEP-PIPE-1051-051,PIPE-1051,inventory-db-migrator,production,2026-08-06 18:07:26,maya_eng,Success,c64533,hotfix/payment-timeout,stable,0,,,,,,,,0.0,Thursday,3,18,0,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,994,0.968,2,598,0,45.0
DEP-PIPE-1052-052,PIPE-1052,inventory-db-migratore,development,2026-08-06 21:59:39,jordan_qa,Skipped,cac6b5,release/v2.1,stable,0,,,,,,,,0.0,Thursday,3,21,0,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,2184,0.9460000000000001,3,21,0,51.32
DEP-PIPE-1053-053,PIPE-1053,cart-service,production,2026-08-07 01:04:28,maya_eng,Success,ca994c,hotfix/payment-timeout,stable,0,,,,,,,,0.0,Friday,4,1,0,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1636,0.982,0,741,0,33.0
DEP-PIPE-1054-054,PIPE-1054,auth-service,production,2026-08-07 03:08:56,system_bot,Failed,c7dc9f,release/v2.1,rolled_back,1,RBK-8008,MemoryLeakDetected (Container OOMKilled),,,,,,0.0,Friday,4,3,0,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,1,2,0,,,1533,0.892,2,761,1,84.64
DEP-PIPE-1055-055,PIPE-1055,web-frontend,production,2026-08-07 05:29:14,alex_dev,Success,cb06ad,hotfix/payment-timeout,stable,0,,,,,,,,0.0,Friday,4,5,0,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1391,0.962,1,696,0,39.0
DEP-PIPE-1056-056,PIPE-1056,web-frontend,production,2026-08-07 07:15:47,alex_dev,Success,c5ad17,main,stable,0,,,,,,,,0.0,Friday,4,7,0,1,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1417,0.966,1,700,0,39.0
DEP-PIPE-1057-057,PIPE-1057,cart-service,production,2026-08-07 10:15:33,jordan_qa,Success,c21f36,hotfix/payment-timeout,stable,0,,,,,,,,0.0,Friday,4,10,0,0,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1202,0.974,2,849,0,27.0
DEP-PIPE-1058-058,PIPE-1058,web-frontend,staging,2026-08-07 12:29:13,saanvi_lead,Success,c89661,hotfix/payment-timeout,stable,0,,,,,,,,0.0,Friday,4,12,0,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1700,0.978,3,831,0,33.0
DEP-PIPE-1059-059,PIPE-1059,auth-service,production,2026-08-07 14:46:15,maya_eng,Success,cb33aa,release/v2.1,stable,0,,,,,,,,0.0,Friday,4,14,0,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,698,0.984,2,798,0,27.0
DEP-PIPE-1060-060,PIPE-1060,web-frontend,production,2026-08-07 17:53:05,saanvi_lead,Success,cc4a63,main,stable,0,,,,,,,,0.0,Friday,4,17,0,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1247,0.9800000000000001,0,831,0,15.0
DEP-PIPE-1061-061,PIPE-1061,auth-service,production,2026-08-07 20:48:28,system_bot,Failed,cadf2c,release/v2.1,rolled_back,0,,,,,,,,0.0,Friday,4,20,0,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,1,2,0,,,1224,0.932,5,682,0,93.44
DEP-PIPE-1062-062,PIPE-1062,web-frontend,production,2026-08-07 23:12:05,jordan_qa,Failed,c26929,feature/auth-refresh,rolled_back,1,RBK-8009,SecurityScanAlert_PostDeploy (Critical CVE in dynamic bundle),,,,,,0.0,Friday,4,23,0,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,1,2,0,,,1542,0.924,2,657,0,82.08
DEP-PIPE-1063-063,PIPE-1063,cart-service,production,2026-08-08 01:14:41,jordan_qa,Success,c2a0d0,main,stable,0,,,,,,,,0.0,Saturday,5,1,1,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1858,0.9719999999999999,0,847,0,55.0
DEP-PIPE-1064-064,PIPE-1064,payment-api,production,2026-08-08 04:45:17,alex_dev,Success,cbf930,hotfix/payment-timeout,stable,0,,,,,,,,0.0,Saturday,5,4,1,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1975,0.974,1,793,0,61.0
DEP-PIPE-1065-065,PIPE-1065,auth-service,production,2026-08-08 08:08:48,glory_ops,Failed,cc2d5d,hotfix/payment-timeout,rolled_back,1,RBK-8010,HealthCheckFailed (HTTP 503 Service Unavailable on /healthz),,,,,,0.0,Saturday,5,8,1,1,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,1,2,0,,,1938,0.868,5,687,1,100.0
DEP-PIPE-1066-066,PIPE-1066,notification-workere,development,2026-08-08 09:54:33,saanvi_lead,Success,cea9b8,main,stable,0,,,,,,,,0.0,Saturday,5,9,1,0,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1580,0.978,0,831,0,37.0
DEP-PIPE-1067-067,PIPE-1067,web-frontend,production,2026-08-08 11:32:55,saanvi_lead,Failed,c4f136,hotfix/payment-timeout,rolled_back,0,,,,,,,,0.0,Saturday,5,11,1,0,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,1,2,0,,,1898,0.916,1,788,1,80.72
DEP-PIPE-1068-068,PIPE-1068,user-profile,production,2026-08-08 15:24:11,jordan_qa,Failed,cdb71b,hotfix/payment-timeout,rolled_back,1,RBK-8011,DatabaseDeadlockOnMigration (Schema lock timeout),,,,,,0.0,Saturday,5,15,1,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,1,2,0,,,2408,0.884,6,777,1,100.0
DEP-PIPE-1069-069,PIPE-1069,web-frontend,production,2026-08-08 19:02:45,system_bot,Success,cb893f,main,stable,0,,,,,,,,0.0,Saturday,5,19,1,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1779,0.974,3,603,0,73.0
DEP-PIPE-1070-070,PIPE-1070,web-frontend,staging,2026-08-08 22:46:35,saanvi_lead,Success,cce175,feature/auth-refresh,stable,0,,,,,,,,0.0,Saturday,5,22,1,1,Evening (18:00-24:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1355,0.9640000000000001,1,660,0,61.0
DEP-PIPE-1071-071,PIPE-1071,payment-api,production,2026-08-09 01:49:50,maya_eng,Success,ce2cc5,release/v2.1,stable,0,,,,,,,,0.0,Sunday,6,1,1,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1940,0.968,3,779,0,73.0
DEP-PIPE-1072-072,PIPE-1072,cart-service,production,2026-08-09 03:04:10,saanvi_lead,Success,c8b511,main,stable,0,,,,,,,,0.0,Sunday,6,3,1,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1855,0.982,4,475,0,79.0
DEP-PIPE-1073-073,PIPE-1073,user-profile,staging,2026-08-09 03:56:16,system_bot,Success,c28c00,main,stable,0,,,,,,,,0.0,Sunday,6,3,1,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1022,0.968,0,593,0,55.0
DEP-PIPE-1074-074,PIPE-1074,auth-service,production,2026-08-09 05:56:19,maya_eng,Failed,c1d0f9,release/v2.1,rolled_back,1,RBK-8012,LatencySLA_Exceeded (p99 latency spiked > 2500ms),,,,,,0.0,Sunday,6,5,1,1,Night (00:00-06:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,1,2,0,,,1091,0.8719999999999999,7,814,1,100.0
DEP-PIPE-1075-075,PIPE-1075,auth-service,production,2026-08-09 07:26:00,alex_dev,Success,c8137c,hotfix/payment-timeout,stable,0,,,,,,,,0.0,Sunday,6,7,1,1,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,2254,0.976,0,775,0,55.0
DEP-PIPE-1076-076,PIPE-1076,auth-service,production,2026-08-09 10:08:19,glory_ops,Success,c20a9b,feature/auth-refresh,stable,0,,,,,,,,0.0,Sunday,6,10,1,0,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1072,0.976,2,841,0,49.0
DEP-PIPE-1077-077,PIPE-1077,user-profile,production,2026-08-09 11:44:28,saanvi_lead,Skipped,c6f920,feature/auth-refresh,stable,0,,,,,,,,0.0,Sunday,6,11,1,0,Morning (06:00-12:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,2220,0.8939999999999999,4,373,1,65.48
DEP-PIPE-1078-078,PIPE-1078,user-profile,production,2026-08-09 15:17:45,maya_eng,Success,c71a26,hotfix/payment-timeout,stable,0,,,,,,,,0.0,Sunday,6,15,1,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1431,0.982,3,627,0,55.0
DEP-PIPE-1079-079,PIPE-1079,inventory-db-migrator,production,2026-08-09 17:56:38,alex_dev,Success,c86812,feature/auth-refresh,stable,0,,,,,,,,0.0,Sunday,6,17,1,0,Afternoon (12:00-18:00),Q3,-0.8660254037844385,-0.5000000000000004,None / Stable,5,0,0,0,,,1964,0.974,1,673,0,43.0
